227,[0.22971973 0.37266004 0.5317593  0.20388223 0.31189459]
228,[0.22895226 0.37119896 0.5296088  0.20301004 0.31063873]
229,[0.22851794 0.37027454 0.5280647  0.20264936 0.30998758]
230,[0.22836956 0.3694236  0.5270002  0.20248296 0.30944624]
231,[0.22854463 0.36900018 0.52488105 0.20174122 0.30811242]
232,[0.2278993  0.36778332 0.53170113 0.20218231 0.30747666]
233,[0.22720351 0.36699139 0.52986961 0.20131829 0.31021579]
234,[  0.22637824   0.36561265   0.52812757   0.20056898 -10.        ]
235,[0.22583302 0.36583872 0.52771949 0.20062434 0.31052857]
236,[  0.225659     0.36504029   0.52573202   0.19987271 -10.        ]
237,[0.22496407 0.36394369 0.52390469 0.19913733 0.3094408 ]
238,[0.22412816 0.36318372 0.52311908 0.1987452  0.30836765]
239,[0.22329333 0.36241025 0.52252515 0.19810708 0.30785858]
240,[0.22276202 0.36137612 0.52208694 0.19885441 0.30934935]
241,[0.22197742 0.36114833 0.5232021  0.19877774 0.30947153]
242,[0.22182052 0.36075373 0.52267241 0.19806527 0.30952813]
243,[-10.           0.36024689   0.52085617   0.19827389   0.30850529]
244,[0.22055067 0.35965324 0.52165769 0.19888054 0.30901551]
245,[0.21981588 0.35834246 0.51993246 0.19817462 0.30834528]
246,[0.21902426 0.35728967 0.52290883 0.19806708 0.30808218]
247,[  0.21834905   0.35738238   0.52323153   0.19736853 -10.        ]
248,[0.21751161 0.35668758 0.52128978 0.19657588 0.30867707]
249,[0.21732759 0.35677013 0.52123425 0.19665225 0.30769346]
250,[0.21650258 0.35572812 0.51929237 0.19608764 0.30724479]
251,[-10.           0.35455294   0.51896106   0.19536244 -10.        ]
252,[0.21542567 0.35380449 0.51807741 0.19504468 0.30637782]
253,[0.21547348 0.35251085 0.51725142 0.19448259 0.3065538 ]
254,[0.2157694  0.35175391 0.51577635 0.1938562  0.30599645]
255,[0.21554002 0.35106999 0.51551854 0.19407332 0.30613954]
256,[0.21470135 0.35006241 0.5146816  0.19371898 0.30525153]
257,[0.21442117 0.34956547 0.51443402 0.19387922 0.30456645]
258,[  0.21363167   0.3483924    0.51264539   0.19313065 -10.        ]
259,[-10.           0.34721775   0.51138267   0.19294184   0.30359521]
260,[0.21255916 0.34662755 0.50943052 0.1922026  0.3031624 ]
261,[0.21207987 0.34569734 0.50787901 0.19193589 0.30277801]
262,[  0.21187421   0.3448983    0.50639357   0.19149604 -10.        ]
263,[  0.21128804   0.343686     0.50448255   0.19077067 -10.        ]
264,[0.21080497 0.34310668 0.50467573 0.19112616 0.30130744]
265,[  0.21004952   0.34241139   0.502863     0.19041715 -10.        ]
266,[-10.           0.34131029   0.50170709   0.18970398   0.3015373 ]
267,[0.20896995 0.34070156 0.50139408 0.18980752 0.30194121]
268,[0.20824923 0.33965576 0.49975884 0.18910191 0.30177593]
269,[0.20783897 0.3386699  0.49963168 0.18897625 0.30123489]
270,[0.20777975 0.33922289 0.49788506 0.18827892 0.30117762]
271,[0.20779824 0.33805483 0.49641272 0.18758672 0.300198  ]
272,[-10.           0.33704144   0.49599572   0.18721911   0.2997444 ]
273,[0.20787245 0.33581227 0.49427144 0.18653582 0.29895515]
274,[0.20721839 0.33528105 0.49281101 0.1860716  0.29802804]
275,[0.20764856 0.33469394 0.49121495 0.18561249 0.29712702]
276,[0.2069962  0.33363857 0.49132013 0.18494241 0.29682714]
277,[0.20685056 0.33369719 0.49488563 0.18590746 0.29713915]
278,[0.20614487 0.33352869 0.49362696 0.18531317 0.29667587]
279,[  0.20552172   0.33268354   0.49260558   0.18476757 -10.        ]
280,[0.20616886 0.33206318 0.4910545  0.18453033 0.29674715]
281,[0.20551732 0.33156816 0.48964336 0.18399523 0.29582535]
282,[  0.2054674    0.33083894   0.48805948   0.18358091 -10.        ]
283,[0.20585202 0.33019328 0.48664425 0.18301357 0.29625328]
284,[-10.           0.33000628   0.48918925   0.18269046   0.29525911]
285,[  0.20513369   0.32889827   0.4886886    0.18228406 -10.        ]
286,[0.20455616 0.32812999 0.48708065 0.18174382 0.29472057]
287,[0.20409261 0.32780809 0.4862809  0.18145021 0.29437788]
288,[-10.           0.3269351    0.48813196   0.18104352   0.29429843]
289,[-10.           0.32680728   0.4868306    0.18077701   0.29460172]
290,[0.20347658 0.32866944 0.48586466 0.18101605 0.29432645]
291,[0.20316639 0.32822661 0.4848157  0.18039613 0.29375224]
292,[0.20273165 0.3276478  0.48350463 0.18021762 0.2935487 ]
293,[  0.202312     0.32716726   0.48252921   0.18018019 -10.        ]
294,[-10.           0.32683889   0.4832491    0.1796384  -10.        ]
295,[0.20185063 0.32600037 0.48263013 0.17972353 0.29434103]
296,[0.20127533 0.32490273 0.48213812 0.17925885 0.29363349]
297,[0.20075697 0.32452314 0.48053926 0.17880352 0.29287373]
298,[0.20025659 0.32450167 0.48027906 0.17998733 0.29224434]
299,[0.19983874 0.32363613 0.47890859 0.17940679 0.29212021]
300,[  0.19970371   0.32391342   0.47838163   0.17881166 -10.        ]
301,[0.19928934 0.32315084 0.47701647 0.1789361  0.29186243]
302,[0.19889114 0.3225251  0.4757969  0.17835487 0.29219478]
303,[0.19930591 0.32211103 0.47464778 0.1781618  0.29145473]
304,[0.1995633  0.32152777 0.47352267 0.17757766 0.2911171 ]
305,[0.19908905 0.32162568 0.47265866 0.17699734 0.29105115]
306,[0.19865648 0.32114255 0.47232954 0.17685494 0.29069264]
307,[-10.           0.32080069   0.471355     0.17628074   0.29045896]
308,[0.19837811 0.32125516 0.47087799 0.17653727 0.28974525]
309,[  0.19833449   0.32071754   0.46970296   0.17598533 -10.        ]
310,[0.19804803 0.32078985 0.46930752 0.17541946 0.28987035]
311,[0.19753031 0.32085657 0.46927398 0.17537389 0.28909899]
312,[  0.19833614   0.32035902   0.46807033   0.17481959 -10.        ]
313,[  0.19812742   0.32004341   0.4675878    0.17445131 -10.        ]
314,[0.19761133 0.31909781 0.46702877 0.17450303 0.28795255]
315,[0.19743893 0.31854085 0.46653558 0.1739508  0.28737113]
316,[0.19687847 0.31834083 0.46587601 0.17417896 0.28768489]
317,[  0.19683271   0.31742989   0.46460256   0.17363123 -10.        ]
318,[0.19633291 0.31658042 0.46359776 0.17336016 0.286246  ]
319,[0.19589219 0.31575154 0.46337785 0.1742962  0.28661559]
320,[0.19826869 0.31535144 0.46248515 0.17375322 0.28619023]
321,[0.19786785 0.31482256 0.46221145 0.17439753 0.28621117]
322,[-10.           0.31444308   0.46137048   0.17401889   0.28655474]
323,[0.19701772 0.31371901 0.46160775 0.17357429 0.28586253]
324,[-10.           0.31278236   0.46128257   0.17339984   0.28754837]
325,[0.19661531 0.31255425 0.45987287 0.17286794 0.28675176]
326,[  0.19631537   0.3122167    0.45877447   0.17251203 -10.        ]
327,[0.19591444 0.31164991 0.45803593 0.17198608 0.28619401]
328,[  0.19583135   0.3117815    0.45678243   0.17146333 -10.        ]
329,[  0.19523848   0.31157636   0.45576495   0.17157328 -10.        ]
330,[0.19533632 0.31127019 0.4544957  0.17106949 0.28603096]
331,[0.19485047 0.31089821 0.45358395 0.17146884 0.28569748]
332,[0.19477844 0.31161039 0.45328349 0.17095392 0.2854614 ]
333,[  0.19594649   0.31158966   0.45222526   0.17055855 -10.        ]
334,[0.19671126 0.31089355 0.45114233 0.17038776 0.28421873]
335,[0.19728871 0.31036093 0.45033475 0.16995074 0.28462416]
336,[0.19772665 0.30986031 0.44976121 0.16980761 0.28411853]
337,[-10.           0.30915513   0.44875872   0.1694187    0.28358971]
338,[  0.19719528   0.30857481   0.44821318   0.1690021  -10.        ]
339,[0.19665095 0.30819891 0.44729609 0.16911781 0.28311753]
340,[0.19647059 0.30747887 0.44632739 0.16865291 0.28251929]
341,[-10.           0.30703413   0.44542128   0.16858682   0.28270519]
342,[0.19721936 0.30733108 0.44459971 0.16810989 0.28250221]
343,[0.19686661 0.30796531 0.44446747 0.16769508 0.28182162]
344,[0.19630563 0.30768061 0.44361347 0.16747479 0.2816124 ]
345,[-10.           0.30720988   0.44268057   0.16699076   0.28094717]
346,[0.19751511 0.30674464 0.44156641 0.16679051 0.28060749]
347,[-10.           0.30646727   0.4409885    0.16672308   0.2800902 ]
348,[0.19806632 0.30616792 0.43988028 0.16631823 0.27936526]
349,[0.1978349  0.30536187 0.43872782 0.16664539 0.27892084]
350,[-10.           0.30539922   0.43762447   0.16617062   0.27869449]
351,[  0.19731584   0.30510387   0.43660784   0.16581146 -10.        ]
352,[0.19675722 0.30512657 0.43680376 0.16587879 0.27868503]
353,[0.19726967 0.30507251 0.43576592 0.16548074 0.2787941 ]
354,[-10.           0.30440608   0.43488053   0.16536284 -10.        ]
355,[0.19670898 0.30463324 0.4351099  0.16489834 0.2795374 ]
356,[0.19716275 0.30473854 0.43416229 0.16512574 0.27883092]
357,[0.19696415 0.30409408 0.43448152 0.16466621 0.27867874]
358,[0.19678489 0.30353843 0.43383866 0.16427862 0.2784399 ]
359,[0.19668175 0.30269535 0.43347875 0.16437267 0.27851002]
360,[0.19632457 0.30304085 0.43291411 0.16391735 0.27907244]
361,[0.19610818 0.30230754 0.43189674 0.16355298 0.27890013]
362,[-10.           0.30157295   0.43195936   0.16448697 -10.        ]
363,[0.19545059 0.30241179 0.43103792 0.16410871 0.27811602]
364,[0.19505896 0.30159168 0.43042849 0.16384193 0.27740232]
365,[-10.           0.30202196   0.4308448    0.16400535   0.27750117]
366,[-10.           0.30191057   0.42977796   0.16366461 -10.        ]
367,[  0.19415171   0.30151272   0.42891163   0.16322847 -10.        ]
368,[  0.19378478   0.30088506   0.42894492   0.1634051  -10.        ]
369,[0.19387578 0.30042638 0.42779028 0.16319074 0.27631728]
370,[0.19368443 0.30005499 0.4278706  0.16311502 0.27584485]
371,[0.19329048 0.29989749 0.42690533 0.16275369 0.27563438]
372,[0.19285183 0.29950761 0.42592533 0.16255171 0.27537482]
373,[-10.           0.29886942   0.42537147   0.16225777   0.27547776]
374,[0.19267544 0.29817262 0.42457132 0.16201248 0.27582774]
375,[  0.19272398   0.29798531   0.42711283   0.16174289 -10.        ]
376,[0.19238368 0.29840761 0.42615754 0.16147268 0.27572794]
377,[0.19201922 0.29785301 0.42520716 0.16112163 0.27557278]
378,[-10.           0.29769329   0.42485942   0.16164084   0.27527687]
379,[0.1916419  0.29764855 0.42388471 0.16121547 0.27462505]
380,[-10.           0.29767283   0.42298553   0.16080489   0.27455361]
381,[0.19093084 0.29716044 0.42253384 0.16126389 0.27412756]
382,[0.19082763 0.29678975 0.42143071 0.16084283 0.27382119]
383,[0.19050612 0.29662829 0.42124191 0.16096836 0.27450346]
384,[0.19047131 0.29619955 0.42103333 0.16055026 0.27436637]
385,[0.19044681 0.29550087 0.41998911 0.16013787 0.27425451]
386,[0.19002934 0.29529146 0.41913489 0.15999642 0.27435513]
387,[  0.19001189   0.29462002   0.41805808   0.15959271 -10.        ]
388,[0.1897256  0.29461031 0.41709334 0.15994984 0.27497781]
389,[-10.           0.29399553   0.41629125   0.1595932  -10.        ]
390,[  0.18922193   0.29388423   0.41614358   0.15918503 -10.        ]
391,[0.18901742 0.29401241 0.41549282 0.15937456 0.2751942 ]
392,[0.1888769  0.29342319 0.41480067 0.15898786 0.2747937 ]
393,[0.1885798  0.29297212 0.41549096 0.15899864 0.27434856]
394,[  0.18854673   0.29352721   0.41486502   0.1589367  -10.        ]
395,[  0.18817804   0.29350474   0.41422159   0.15856998 -10.        ]
396,[0.18820747 0.29380363 0.41658384 0.15853871 0.27424529]
397,[0.18895322 0.29328674 0.4158667  0.15821009 0.27359096]
398,[  0.18868821   0.29328076   0.41591511   0.1588174  -10.        ]
399,[  0.18956627   0.29312116   0.41694987   0.15842042 -10.        ]
400,[  0.18909406   0.29249706   0.41681711   0.15802536 -10.        ]
401,[0.18899207 0.29312503 0.4167579  0.15810797 0.27452991]
402,[0.18980822 0.29247792 0.41685411 0.15771564 0.27406722]
403,[  0.19080259   0.29193777   0.41668058   0.15758259 -10.        ]
404,[0.19058921 0.29188152 0.41770651 0.15730247 0.27436992]
405,[0.19023206 0.29129563 0.4167472  0.15691502 0.27369413]
406,[0.19068041 0.29130155 0.41591382 0.15695486 0.27393556]
407,[-10.           0.29098132   0.41592475   0.15657017   0.27333878]
408,[0.19005357 0.29058362 0.4149332  0.15627624 0.27308112]
409,[0.18983686 0.28994844 0.41393934 0.15614484 0.2731291 ]
410,[0.18988747 0.29210467 0.41389687 0.15579772 0.27299761]
411,[0.18948517 0.29148824 0.41312668 0.15636747 0.27359575]
