,Time,class,Count,From,To
364,11:00am - 12:00nn,smallTrucks,,South,East
365,11:00am - 12:00nn,largeTrucks,,South,East
366,11:00am - 12:00nn,bicycle_tricycle,,South,East
367,11:00am - 12:00nn,jeepney,,South,East
368,11:00am - 12:00nn,motorela,6,South,East
369,11:00am - 12:00nn,others,,South,East
370,12:00nn - 1:00pm,cars_SUV,8,South,East
371,12:00nn - 1:00pm,motorcycles_scooters,7,South,East
372,12:00nn - 1:00pm,taxi,4,South,East
373,12:00nn - 1:00pm,buses,,South,East
374,12:00nn - 1:00pm,smallTrucks,,South,East
375,12:00nn - 1:00pm,largeTrucks,,South,East
376,12:00nn - 1:00pm,bicycle_tricycle,,South,East
377,12:00nn - 1:00pm,jeepney,,South,East
378,12:00nn - 1:00pm,motorela,2,South,East
379,12:00nn - 1:00pm,others,1,South,East
380,1:00pm - 2:00pm,cars_SUV,15,South,East
381,1:00pm - 2:00pm,motorcycles_scooters,18,South,East
382,1:00pm - 2:00pm,taxi,5,South,East
383,1:00pm - 2:00pm,buses,,South,East
384,1:00pm - 2:00pm,smallTrucks,,South,East
385,1:00pm - 2:00pm,largeTrucks,,South,East
386,1:00pm - 2:00pm,bicycle_tricycle,,South,East
387,1:00pm - 2:00pm,jeepney,,South,East
388,1:00pm - 2:00pm,motorela,21,South,East
389,1:00pm - 2:00pm,others,,South,East
390,2:00pm - 3:00pm,cars_SUV,13,South,East
391,2:00pm - 3:00pm,motorcycles_scooters,15,South,East
392,2:00pm - 3:00pm,taxi,2,South,East
393,2:00pm - 3:00pm,buses,,South,East
394,2:00pm - 3:00pm,smallTrucks,,South,East
395,2:00pm - 3:00pm,largeTrucks,,South,East
396,2:00pm - 3:00pm,bicycle_tricycle,,South,East
397,2:00pm - 3:00pm,jeepney,,South,East
398,2:00pm - 3:00pm,motorela,4,South,East
399,2:00pm - 3:00pm,others,,South,East
400,3:00pm - 4:00pm,cars_SUV,18,South,East
401,3:00pm - 4:00pm,motorcycles_scooters,13,South,East
402,3:00pm - 4:00pm,taxi,1,South,East
403,3:00pm - 4:00pm,buses,,South,East
404,3:00pm - 4:00pm,smallTrucks,,South,East
405,3:00pm - 4:00pm,largeTrucks,,South,East
406,3:00pm - 4:00pm,bicycle_tricycle,,South,East
407,3:00pm - 4:00pm,jeepney,,South,East
408,3:00pm - 4:00pm,motorela,10,South,East
409,3:00pm - 4:00pm,others,,South,East
410,4:00pm - 5:00pm,cars_SUV,14,South,East
411,4:00pm - 5:00pm,motorcycles_scooters,9,South,East
412,4:00pm - 5:00pm,taxi,,South,East
413,4:00pm - 5:00pm,buses,,South,East
